    t     y_estimated_RK4    y_exact  
   0.00000000       0.00000000       0.00000000    
   5.00000007E-02   0.00000000      0.220842779    
  0.100000001       4.53331741E-03  0.391035438    
  0.150000006       1.46915969E-02  0.520625710    
  0.200000003       3.10143922E-02  0.617973387    
  0.250000000       5.36584966E-02  0.690007031    
  0.300000012       8.25193003E-02  0.742447078    
  0.350000024      0.117317438      0.779995501    
  0.400000036      0.157660365      0.806494772    
  0.450000048      0.203085870      0.825064600    
  0.500000060      0.253092527      0.838218093    
  0.550000072      0.307160914      0.847961128    
  0.600000083      0.364768058      0.855872929    
  0.650000095      0.425397217      0.863180697    
  0.700000107      0.488544285      0.870815814    
  0.750000119      0.553721786      0.879465759    
  0.800000131      0.620461345      0.889617264    
  0.850000143      0.688314795      0.901591897    
  0.900000155      0.756854951      0.915576160    
  0.950000167      0.825675428      0.931646764    
   1.00000012      0.894390404      0.949793398    
   1.05000007      0.962634146      0.969934344    
   1.10000002       1.03006041      0.991934299    
   1.14999998       1.09634185       1.01561463    
   1.19999993       1.16116941       1.04076457    
   1.24999988       1.22425175       1.06715071    
   1.29999983       1.28531456       1.09452283    
   1.34999979       1.34410024       1.12262094    
   1.39999974       1.40036726       1.15117931    
   1.44999969       1.45388985       1.17993176    
   1.49999964       1.50445771       1.20861304    
   1.54999959       1.55187559       1.23696351    
   1.59999955       1.59596312       1.26472986    
   1.64999950       1.63655436       1.29166746    
   1.69999945       1.67349792       1.31754136    
   1.74999940       1.70665646       1.34212828    
   1.79999936       1.73590672       1.36521602    
   1.84999931       1.76113927       1.38660514    
   1.89999926       1.78225839       1.40610909    
   1.94999921       1.79918206       1.42355430    
   1.99999917       1.81184149       1.43878090    
   2.04999924       1.82018149       1.45164275    
   2.09999919       1.82415998       1.46200657    
   2.14999914       1.82374775       1.46975315    
   2.19999909       1.81892884       1.47477663    
   2.24999905       1.80969977       1.47698450    
   2.29999900       1.79606986       1.47629738    
   2.34999895       1.77806067       1.47264910    
   2.39999890       1.75570607       1.46598577    
   2.44999886       1.72905183       1.45626676    
   2.49999881       1.69815552       1.44346321    
   2.54999876       1.66308641       1.42755866    
   2.59999871       1.62392473       1.40854812    
   2.64999866       1.58076191       1.38643861    
   2.69999862       1.53369987       1.36124754    
   2.74999857       1.48285103       1.33300400    
   2.79999852       1.42833781       1.30174732    
   2.84999847       1.37029207       1.26752687    
   2.89999843       1.30885518       1.23040211    
   2.94999838       1.24417722       1.19044209    
   2.99999833       1.17641675       1.14772475    
   3.04999828       1.10574031       1.10233736    
   3.09999824       1.03232217       1.05437505    
   3.14999819      0.956343472       1.00394130    
   3.19999814      0.877992213      0.951147199    
   3.24999809      0.797462404      0.896111012    
   3.29999804      0.714953661      0.838957906    
   3.34999800      0.630670846      0.779819369    
   3.39999795      0.544823229      0.718833029    
   3.44999790      0.457624227      0.656141937    
   3.49999785      0.369290769      0.591894209    
   3.54999781      0.280042648      0.526242733    
   3.59999776      0.190102100      0.459344685    
   3.64999771       9.96931791E-02  0.391360790    
   3.69999766       9.04116035E-03  0.322455227    
   3.74999762      -8.16279948E-02  0.252794862    
   3.79999757     -0.172088206      0.182549238    
   3.84999752     -0.262113869      0.111889422    
   3.89999747     -0.351480454       4.09880877E-02
   3.94999743     -0.439964950      -2.99810171E-02
   3.99999738     -0.527346611     -0.100843728    
   4.04999733     -0.613407254     -0.171426058    
   4.09999752     -0.697932124     -0.241554439    
   4.14999771     -0.780710220     -0.311055660    
   4.19999790     -0.861534894     -0.379758269    
   4.24999809     -0.940204322     -0.447492480    
   4.29999828      -1.01652205     -0.514090776    
   4.34999847      -1.09029758     -0.579388320    
   4.39999866      -1.16134655     -0.643223524    
   4.44999886      -1.22949159     -0.705438018    
   4.49999905      -1.29456234     -0.765877604    
   4.54999924      -1.35639644     -0.824392200    
   4.59999943      -1.41483939     -0.880836666    
   4.64999962      -1.46974516     -0.935070753    
   4.69999981      -1.52097654     -0.986959875    
   4.75000000      -1.56840563      -1.03637493    
   4.80000019      -1.61191392      -1.08319306    
   4.85000038      -1.65139282      -1.12729788    
   4.90000057      -1.68674362      -1.16857970    
   4.95000076      -1.71787798      -1.20693600    
   5.00000095      -1.74471819      -1.24227118    
   5.05000114      -1.76719713      -1.27449727    
   5.10000134      -1.78525865      -1.30353427    
   5.15000153      -1.79885769      -1.32930994    
   5.20000172      -1.80796015      -1.35176003    
   5.25000191      -1.81254351      -1.37082875    
   5.30000210      -1.81259620      -1.38646865    
   5.35000229      -1.80811810      -1.39864099    
   5.40000248      -1.79912043      -1.40731549    
   5.45000267      -1.78562570      -1.41247058    
   5.50000286      -1.76766777      -1.41409349    
   5.55000305      -1.74529135      -1.41218066    
   5.60000324      -1.71855259      -1.40673661    
   5.65000343      -1.68751812      -1.39777529    
   5.70000362      -1.65226567      -1.38531923    
   5.75000381      -1.61288333      -1.36939955    
   5.80000401      -1.56946957      -1.35005593    
   5.85000420      -1.52213275      -1.32733727    
   5.90000439      -1.47099137      -1.30130029    
   5.95000458      -1.41617322      -1.27200985    
   6.00000477      -1.35781527      -1.23953962    
   6.05000496      -1.29606342      -1.20397055    
   6.10000515      -1.23107207      -1.16539168    
   6.15000534      -1.16300356      -1.12389946    
   6.20000553      -1.09202814      -1.07959771    
   6.25000572      -1.01832318      -1.03259706    
   6.30000591     -0.942072928     -0.983015180    
   6.35000610     -0.863467932     -0.930975914    
   6.40000629     -0.782704651     -0.876609445    
   6.45000648     -0.699985027     -0.820051670    
   6.50000668     -0.615515769     -0.761443853    
   6.55000687     -0.529507995     -0.700932682    
   6.60000706     -0.442176700     -0.638669372    
   6.65000725     -0.353740156     -0.574809551    
   6.70000744     -0.264419436     -0.509512842    
   6.75000763     -0.174437791     -0.442942441    
   6.80000782      -8.40201452E-02 -0.375264823    
   6.85000801       6.60751760E-03 -0.306649089    
   6.90000820       9.72186550E-02 -0.237266839    
   6.95000839      0.187586814     -0.167291343    
   7.00000858      0.277486086      -9.68976617E-02
   7.05000877      0.366691798      -2.62618065E-02
   7.10000896      0.454980969       4.44397926E-02
   7.15000916      0.542132914      0.115030408    
   7.20000935      0.627929807      0.185333550    
   7.25000954      0.712157190      0.255173504    
   7.30000973      0.794604540      0.324375749    
   7.35000992      0.875065804      0.392767102    
   7.40001011      0.953339815      0.460176885    
   7.45001030       1.02923095      0.526436448    
   7.50001049       1.10254955      0.591380239    
   7.55001068       1.17311239      0.654845893    
   7.60001087       1.24074304      0.716674805    
   7.65001106       1.30527234      0.776712477    
   7.70001125       1.36653912      0.834808648    
   7.75001144       1.42439032      0.890818298    
   7.80001163       1.47868121      0.944601357    
   7.85001183       1.52927613      0.996023417    
   7.90001202       1.57604861       1.04495585    
   7.95001221       1.61888182       1.09127653    
   8.00001240       1.65766859       1.13486958    
   8.05001259       1.69231200       1.17562592    
   8.10001278       1.72272551       1.21344388    
   8.15001297       1.74883306       1.24822879    
   8.20001316       1.77056944       1.27989388    
   8.25001335       1.78788030       1.30835986    
   8.30001354       1.80072236       1.33355546    
   8.35001373       1.80906355       1.35541797    
   8.40001392       1.81288290       1.37389255    
   8.45001411       1.81217098       1.38893318    
   8.50001431       1.80692959       1.40050209    
   8.55001450       1.79717171       1.40857053    
   8.60001469       1.78292179       1.41311824    
   8.65001488       1.76421547       1.41413379    
   8.70001507       1.74109960       1.41161478    
   8.75001526       1.71363175       1.40556741    
   8.80001545       1.68188071       1.39600682    
   8.85001564       1.64592588       1.38295698    
   8.90001583       1.60585701       1.36645043    
